sr_test,sr_pred,fstrain_test,fstrain_pred
0.004907797,0.004906933,8.3092,5.197523013
0.004905052,0.004906933,7.4606,5.35563294
0.004905773,0.004907028,4.859,5.887340009
0.004903737,0.004904452,6.3805,8.683114693
0.00490639,0.004906838,6.5749,7.364768959
0.004907213,0.004906838,6.1209,6.727167344
0.004905463,0.004905982,5.9056,8.764100045
0.004903692,0.00490275,7.1066,7.777033851
0.004904368,0.004903916,7.4775,7.330974864
0.004903937,0.004904349,8.4425,8.039011889
0.004903079,0.004903094,8.2221,7.203625983
0.004902322,0.00490275,5.8153,7.422989281
0.004902338,0.004902412,35.7374,29.96281448
0.004902301,0.004902253,25.6713,28.08093872
0.004902264,0.004902253,29.4329,34.54616408
0.004902148,0.004902274,82.1504,75.32890449
0.004902152,0.004902152,70.7403,75.28161511
0.004902145,0.004902154,86.916,74.67526903
0.004902118,0.004902154,70.7523,74.20101675
0.004902226,0.004902133,48.4686,58.76716107
0.004902182,0.004902155,71.6145,71.00791925
0.004902254,0.004902212,65.6438,67.24158958
0.004902127,0.004902155,74.4304,73.36474762
0.004902047,0.004902041,121.9548,89.40041217
0.004902066,0.004902041,75.273,89.69192392
0.004904447,0.0049058,10.8999,8.952953083
0.004908111,0.0049058,5.3996,8.679995634
0.004903965,0.004904762,13.039,9.080637126
0.004903672,0.00490275,8.8202,7.04993447
0.004902169,0.00490214,60.5296,49.14143729
0.004902101,0.004902098,65.9116,66.74509782
0.004902066,0.004902098,61.6867,52.62459221
0.004902114,0.004902098,70.7868,62.43289928
0.004902447,0.004902287,17.2574,18.71262721
0.004902115,0.004902318,24.8564,26.75967873
0.004902098,0.004902212,43.4111,34.05871689
0.004902365,0.004902318,31.21,26.75967873
0.004902223,0.004902287,22.6555,21.08468144
0.004902131,0.004902318,24.4976,25.53272883
0.004902308,0.004902212,23.3102,40.55703758
0.004902073,0.004902155,42.6635,51.4096563
0.004902387,0.004902452,21.3417,18.88638363
0.004902405,0.004902279,13.407,23.32656391
0.004902169,0.004902334,9.9546,28.67000512
0.00490231,0.004902279,17.5961,21.02142343
0.004902854,0.004902504,22.7224,21.10720924
0.004902619,0.004902882,17.2059,10.80140665
0.004902374,0.004902882,19.2002,10.80140665
0.004902451,0.004902504,23.899,23.48092122
0.004904142,0.004904133,9.5522,11.0129084
0.004902506,0.004902504,12.3747,12.96117012
0.004902356,0.004902882,9.5519,5.178148382
0.0049042,0.004904133,11.5841,11.64439951
0.004902269,0.004902156,23.6286,26.06665303
0.004902122,0.004902156,33.169,26.64976887
0.004902223,0.004902083,50.879,47.09388474
0.004902191,0.004902179,51.2681,32.08195649
0.004903558,0.004905025,13.7997,14.67103259
0.004902922,0.004904133,17.2144,16.14734861
0.004902613,0.004902996,21.0619,18.29961087
0.00490349,0.004904133,14.4399,16.14734861
0.004910121,0.004915656,3.7351,2.952608513
0.004920289,0.004915656,1.8373,3.184423517
0.004920255,0.004917156,1.8409,3.204316225
0.004916127,0.004915656,2.0651,3.242157334
0.004902497,0.004902222,19.0378,29.13209722
0.004902168,0.004902185,30.3618,29.62509564
0.004902268,0.004902248,19.2891,24.06257586
0.00490235,0.004902222,21.2644,29.49637182
0.004902237,0.004902433,33.9978,18.9525366
0.004902612,0.004902828,30.2226,25.03989261
0.004902833,0.004902433,22.3345,19.97083313
0.004902307,0.004902705,38.2556,22.53532838
0.004902791,0.004902882,23.0106,22.33919694
0.004910024,0.00490984,4.4779,4.258819077
0.004907946,0.004906439,4.2913,4.62469379
0.004903206,0.004904452,3.8116,4.399824673
0.004909254,0.00490984,4.6345,3.917521546
