Porosity,Mat. Young Modulus,Ultimate Strength,Mat. Fracture Strain,Young Modulus,Yield Strength,Fracture Strength,Fracture Strain,Toughness,Strain Rate
45.3978,2080,52,12,222.1336,9.7467,10.6616,6.1209,0.3773,0.004907213
63.6274,2080,52,12,130.5197,4.8606,5.5139,5.9056,0.1987,0.004905463
74.4507,2080,52,12,62.1644,2.4667,2.6082,7.1066,0.1241,0.004903692
48.0919,2300,52,4,173.2676,8.0136,8.4212,7.4775,0.3958,0.004904368
62.5138,2300,52,4,102.1577,4.061,4.942,8.4425,0.2705,0.004903937
70.8943,2300,52,4,72.0647,3.0917,3.4839,8.2221,0.1897,0.004903079
75.516,2300,52,4,55.8539,1.819,2.2496,5.8153,0.0794,0.004902322
55.1397,1000,28,55,77.8449,4.3143,5.6577,35.7374,1.5888,0.004902338
79.6729,1000,28,55,36.8816,1.804,2.2644,25.6713,0.4576,0.004902301
70.8888,1000,28,55,45.1306,2.2675,2.9988,29.4329,0.6843,0.004902264
51.7524,350,20,100,46.6699,2.1049,4.4023,82.1504,2.5133,0.004902148
63.6886,350,20,100,20.6561,1.0299,2.4561,70.7403,1.1457,0.004902152
76.1705,350,20,100,3.0183,0.1103,0.8635,86.916,0.3681,0.004902145
70.5073,350,20,100,5.1284,0.2827,1.1424,70.7523,0.4482,0.004902118
60.1906,396,20.6,173,115.7419,5.217,5.7713,48.4686,2.4953,0.004902226
70.9247,396,20.6,173,38.1376,1.559,2.4176,71.6145,1.3688,0.004902182
82.9849,396,20.6,173,21.448,0.9403,1.3322,65.6438,0.7327,0.004902254
74.4415,396,20.6,173,23.1932,1.0528,1.8564,74.4304,1.0215,0.004902127
34.4605,4.6,8.9,120,1.1831,0.4815,0.9766,121.9548,0.6785,0.004902047
75.4143,4.6,8.9,120,0.3244,0.1855,0.2385,75.273,0.0912,0.004902066
50.3552,2600,61,13,216.6598,9.7036,10.4526,10.8999,0.8486,0.004904447
44.8914,2600,61,13,259.075,8.5618,10.4818,5.3996,0.3326,0.004908111
59.5449,2600,61,13,158.5425,6.6775,7.4087,13.039,0.754,0.004903965
80.7881,2600,61,13,60.6674,2.0826,2.3356,8.8202,0.1531,0.004903672
54.7686,1434,45,101,82.8236,3.9147,5.2045,60.5296,2.5968,0.004902169
69.582,1434,45,101,45.0885,2.0875,3.085,65.9116,1.6189,0.004902101
76.0065,1434,45,101,16.6086,0.8824,1.4604,61.6867,0.6762,0.004902066
73.1961,1434,45,101,50.5626,2.2547,3.4829,70.7868,1.9331,0.004902114
32.5979,1378,52,127,163.7376,6.2712,7.0989,17.2574,1.0119,0.004902447
55.6924,1378,52,127,57.4677,2.0773,2.6665,24.8564,0.529,0.004902115
82.5765,1378,52,127,20.8592,0.8151,1.336,43.4111,0.4386,0.004902098
54.1043,1378,52,127,71.8967,2.5805,3.5676,31.21,0.901,0.004902365
31.4352,1245,38,141,156.0325,7.554,7.9588,22.6555,1.5614,0.004902223
51.5741,1245,38,141,101.0629,3.7168,4.3214,24.4976,0.896,0.004902131
81.6667,1245,38,141,24.7961,0.9819,1.3631,23.3102,0.2431,0.004902308
71.2037,1245,38,141,41.657,1.6485,2.2764,42.6635,0.7938,0.004902073
42.7219,1494,39,105,146.1146,7.0599,8.1346,21.3417,1.4276,0.004902387
59.2282,1494,39,105,69.2588,2.2132,2.8134,13.407,0.2886,0.004902405
78.7348,1494,39,105,17.0276,0.5383,0.762,9.9546,0.0522,0.004902169
54.6,1494,39,105,82.5023,3.0471,3.7941,17.5961,0.5242,0.00490231
64.7071,1806,53,43,100.7878,4.1653,5.1335,22.7224,0.9623,0.004902854
86.8319,1806,53,43,31.8542,1.0607,1.4946,17.2059,0.2005,0.004902619
88.2352,1806,53,43,25.0492,0.9237,1.2299,19.2002,0.1856,0.004902374
67.9298,1806,53,43,83.3754,3.0741,3.9954,23.899,0.7856,0.004902451
48.2498,1752,45,41,185.2873,6.5652,7.6765,9.5522,0.5423,0.004904142
68.4967,1752,45,41,87.4745,2.821,3.5037,12.3747,0.335,0.004902506
89.2529,1752,45,41,14.506,0.6289,0.7624,9.5519,0.0487,0.004902356
51.8322,1752,45,41,184.3759,6.6652,7.9145,11.5841,0.7008,0.0049042
33.8186,1305,37,110,138.8675,6.2365,7.0209,23.6286,1.4201,0.004902269
45.898,1305,37,110,103.5095,4.5033,5.1942,33.169,1.4927,0.004902122
67.0262,1305,37,110,58.3729,2.3593,3.2341,50.879,1.3624,0.004902223
90.9043,1305,37,110,10.1334,0.4366,0.8152,51.2681,0.2934,0.004902191
38.7848,1673,46,51,218.0661,11.5776,12.9635,13.7997,1.2927,0.004903558
50.8765,1673,46,51,171.0999,7.8743,8.7807,17.2144,1.2092,0.004902922
62.8642,1673,46,51,95.4693,4.143,4.7099,21.0619,0.8329,0.004902613
50.2434,1673,46,51,157.2147,8.3298,9.0651,14.4399,0.9964,0.00490349
59.5061,4100,69,5.3,220.5293,5.8659,5.9658,3.7351,0.1331,0.004910121
55.1828,4100,69,5.3,353.5041,4.7795,5.6154,1.8373,0.0558,0.004920289
68.6663,4100,69,5.3,167.634,2.5763,2.8854,1.8409,0.0278,0.004920255
49.1501,4100,69,5.3,401.0421,6.8304,7.1376,2.0651,0.0797,0.004916127
53.4398,1500,33,51,124.903,5.443,6.1104,19.0378,0.9574,0.004902497
64.0421,1500,33,51,70.9258,2.9581,3.8088,30.3618,0.939,0.004902168
76.5528,1500,33,51,42.535,1.8797,2.2828,19.2891,0.3394,0.004902268
54.7607,1500,33,51,119.6614,5.3462,5.9608,21.2644,1.0547,0.00490235
73.5592,2200,46,48,58.3214,2.2645,3.1673,33.9978,0.8466,0.004902237
60.4456,2200,46,48,135.1765,5.6687,6.6221,30.2226,1.6916,0.004902612
74.1368,2200,46,48,74.1387,2.9485,3.3932,22.3345,0.6311,0.004902833
65.1808,2200,46,48,101.1294,3.9458,5.3804,38.2556,1.6547,0.004902307
52.9442,2200,46,48,174.6319,7.3005,8.0489,23.0106,1.5801,0.004902791
56.3937,2800,65,6.2,244.4611,7.1601,8.1084,4.4779,0.2133,0.004910024
67.2429,2800,65,6.2,133.0854,3.7728,4.0702,4.2913,0.1045,0.004907946
78.9029,2800,65,6.2,48.9371,0.9366,1.1915,3.8116,0.0288,0.004903206
48.0422,2800,65,6.2,296.7101,8.8343,9.8382,4.6345,0.2711,0.004909254
